,日期,天气,温度
0,2011/01/01,多云~雨夹雪,2~6℃
1,2011/01/02,多云,2~7℃
2,2011/01/03,多云~阴,2~7℃
3,2011/01/04,小雨,3~6℃
4,2011/01/05,阴~多云,-1~5℃
5,2011/01/06,晴~多云,-2~6℃
6,2011/01/07,阴~小雨,1~7℃
7,2011/01/08,雨夹雪~多云,-2~5℃
8,2011/01/09,雨夹雪,-2~4℃
9,2011/01/10,小雪,-3~2℃
10,2011/01/11,多云,0~4℃
11,2011/01/12,多云~小雨,2~5℃
12,2011/01/13,阴~多云,1~6℃
13,2011/01/14,多云,-1~5℃
14,2011/01/15,多云,0~5℃
15,2011/01/16,多云~雨夹雪,0~4℃
16,2011/01/26,阴,3~6℃
17,2011/01/29,多云,-2~3℃
18,2011/01/30,晴,-4~4℃
19,2011/01/31,晴,-4~7℃
20,2011/02/01,多云~晴,-2~9℃
21,2011/02/02,晴,1~10℃
22,2011/02/03,晴~多云,1~13℃
23,2011/02/04,晴,2~16℃
24,2011/02/05,晴,3~18℃
25,2011/02/06,多云~晴,5~18℃
26,2011/02/07,晴~阴,8~19℃
27,2011/02/08,多云,6~22℃
28,2011/02/09,阴~小雨,3~10℃
29,2011/02/10,中雨~雨夹雪,1~6℃
30,2011/02/11,多云,-1~5℃
31,2011/02/12,多云~雨夹雪,0~6℃
32,2011/02/13,雨夹雪,0~4℃
33,2011/02/14,多云,-2~4℃
34,2011/02/15,多云,3~7℃
35,2011/02/16,小雨,4~7℃
36,2011/02/17,小到中雨~阴,4~6℃
37,2011/02/18,小雨,5~8℃
38,2011/02/19,阴,3~7℃
39,2011/02/20,多云,3~10℃
40,2011/02/21,晴~多云,4~13℃
41,2011/02/22,多云,4~14℃
42,2011/02/23,多云~阴,5~17℃
43,2011/02/24,多云,8~19℃
44,2011/02/25,多云~阴,9~14℃
45,2011/02/26,多云,11~18℃
46,2011/02/27,多云~阵雨,7~26℃
47,2011/02/28,小雨,3~8℃
48,2011/03/01,小雨~多云,0~7℃
49,2011/03/02,晴~多云,1~10℃
50,2011/03/03,多云~晴,1~10℃
51,2011/03/04,晴,2~12℃
52,2011/03/05,多云~小雨,7~14℃
53,2011/03/06,中雨~小雨,4~10℃
54,2011/03/07,多云,2~11℃
55,2011/03/08,晴,5~15℃
56,2011/03/09,多云,3~15℃
57,2011/03/10,晴,4~15℃
58,2011/03/11,多云~小雨,8~16℃
59,2011/03/12,多云,10~17℃
60,2011/03/13,多云~阵雨,12~21℃
61,2011/03/14,小雨,5~17℃
62,2011/03/15,阴~多云,3~10℃
63,2011/03/16,多云~晴,2~13℃
64,2011/03/17,晴,5~15℃
65,2011/03/18,小雨,9~14℃
66,2011/03/19,阵雨~小到中雨,13~17℃
67,2011/03/20,阵雨~中雨,7~20℃
68,2011/03/21,中雨,3~8℃
69,2011/03/22,小雨~阴,2~8℃
70,2011/03/23,多云,4~11℃
71,2011/03/24,多云,4~16℃
72,2011/03/25,晴,5~15℃
73,2011/03/26,多云,5~14℃
74,2011/03/27,多云~晴,6~17℃
75,2011/03/28,晴~多云,6~20℃
76,2011/03/29,晴,6~18℃
77,2011/03/30,晴,7~20℃
78,2011/04/01,多云,12~23℃
79,2011/04/02,小雨,7~20℃
80,2011/04/03,小雨,6~10℃
81,2011/04/04,多云,7~14℃
82,2011/04/05,晴~多云,7~18℃
83,2011/04/06,多云~阵雨,13~19℃
84,2011/04/07,阵雨,11~18℃
85,2011/04/08,阴,9~18℃
86,2011/04/09,多云~小雨,10~18℃
87,2011/04/10,小雨,12~20℃
88,2011/04/11,多云,8~18℃
89,2011/04/12,多云~阴,9~18℃
90,2011/04/13,阴~多云,14~19℃
91,2011/04/14,阴,16~26℃
92,2011/04/15,阵雨,15~27℃
93,2011/04/16,小雨~阴,9~15℃
94,2011/04/17,多云,8~20℃
95,2011/04/18,多云~晴,8~21℃
96,2011/04/19,晴,8~20℃
97,2011/04/20,晴,13~23℃
98,2011/04/21,多云~雷阵雨,16~26℃
99,2011/04/22,小雨~多云,12~19℃
100,2011/04/23,晴,12~25℃
101,2011/04/24,晴,13~26℃
102,2011/04/25,晴,19~29℃
103,2011/04/26,多云~阴,18~32℃
104,2011/04/27,阵雨~多云,14~25℃
105,2011/04/28,晴,15~26℃
106,2011/04/29,晴~多云,18~32℃
107,2011/04/30,阵雨,20~25℃
108,2011/05/01,阴~多云,13~25℃
109,2011/05/02,阴~中雨,13~22℃
110,2011/05/03,阴~小雨,11~16℃
111,2011/05/04,小雨~阴,12~14℃
112,2011/05/05,多云,16~24℃
113,2011/05/06,阴~多云,19~27℃
114,2011/05/07,多云~阴,19~29℃
115,2011/05/08,晴~多云,22~35℃
116,2011/05/09,阵雨~多云,23~33℃
117,2011/05/10,阵雨~雷阵雨,24~34℃
118,2011/05/11,中雨~阴,19~28℃
119,2011/05/12,小雨~多云,15~24℃
120,2011/05/13,多云,15~25℃
121,2011/05/14,多云~阴,17~27℃
122,2011/05/15,阴~小雨,18~25℃
123,2011/05/16,阴~多云,17~27℃
124,2011/05/17,多云~晴,18~29℃
125,2011/05/18,多云,19~30℃
126,2011/05/19,晴~多云,21~33℃
127,2011/05/20,晴~多云,22~34℃
128,2011/05/21,多云~阵雨,18~32℃
129,2011/05/22,阵雨~中雨,18~22℃
130,2011/05/23,小雨,16~19℃
131,2011/05/24,阴,15~21℃
132,2011/05/25,多云~阴,17~25℃
133,2011/05/26,多云,18~27℃
134,2011/05/27,多云,17~26℃
135,2011/05/28,阴~多云,17~24℃
136,2011/05/29,晴,17~28℃
137,2011/05/30,晴~多云,19~29℃
138,2011/06/01,小雨~多云,21~28℃
139,2011/06/02,阴,20~29℃
140,2011/06/03,阴~小雨,21~26℃
141,2011/06/04,大雨~中雨,21~23℃
142,2011/06/05,小到中雨~小雨,20~24℃
143,2011/06/06,大雨~中雨,20~23℃
144,2011/06/07,中雨~阴,19~24℃
145,2011/06/08,多云~晴,22~31℃
146,2011/06/09,雷阵雨~阵雨,24~34℃
147,2011/06/10,中雨,21~28℃
148,2011/06/11,小到中雨~中雨,22~29℃
149,2011/06/12,中雨~阴,21~28℃
150,2011/06/13,小雨~阵雨,20~26℃
151,2011/06/14,大到暴雨~大雨,20~22℃
152,2011/06/15,大到暴雨~中雨,20~23℃
153,2011/06/16,小雨~阵雨,23~25℃
154,2011/06/17,雷阵雨~阵雨,23~28℃
155,2011/06/18,雷阵雨~中到大雨,24~32℃
156,2011/06/19,小雨~小到中雨,22~26℃
157,2011/06/20,阵雨~多云,22~28℃
158,2011/06/21,阵雨~多云,23~30℃
159,2011/06/22,多云,25~33℃
160,2011/06/23,多云,27~34℃
161,2011/06/24,多云~阵雨,25~34℃
162,2011/06/25,大到暴雨~中到大雨,24~29℃
163,2011/06/26,多云,22~31℃
164,2011/06/27,晴~雷阵雨,24~33℃
165,2011/06/28,雷阵雨,26~33℃
166,2011/06/29,雷阵雨,26~31℃
167,2011/06/30,雷阵雨~多云,25~33℃
168,2011/07/01,多云,26~34℃
169,2011/07/02,多云,26~36℃
170,2011/07/03,晴~多云,28~38℃
171,2011/07/04,雷阵雨,28~37℃
172,2011/07/05,多云,27~36℃
173,2011/07/06,晴~多云,28~38℃
174,2011/07/07,多云,27~38℃
175,2011/07/08,雷阵雨,27~35℃
176,2011/07/09,多云~阵雨,26~34℃
177,2011/07/10,阵雨,25~32℃
178,2011/07/11,阵雨,26~31℃
179,2011/07/12,阵雨~多云,26~32℃
180,2011/07/13,多云~阵雨,26~32℃
181,2011/07/14,雷阵雨~阵雨,26~33℃
182,2011/07/15,多云,26~33℃
183,2011/07/16,多云,27~33℃
184,2011/07/17,多云,27~32℃
185,2011/07/18,多云,26~33℃
186,2011/07/19,阵雨,25~31℃
187,2011/07/20,多云,26~32℃
188,2011/07/21,阵雨~多云,26~34℃
189,2011/07/22,雷阵雨~多云,27~35℃
190,2011/07/23,多云,27~35℃
191,2011/07/24,雷阵雨~多云,27~36℃
192,2011/07/25,雷阵雨~多云,27~38℃
193,2011/07/26,雷阵雨~晴,27~37℃
194,2011/07/27,多云~晴,28~35℃
195,2011/07/28,多云~晴,27~35℃
196,2011/07/29,晴,27~35℃
197,2011/07/30,晴,27~35℃
198,2011/08/01,多云,26~34℃
199,2011/08/02,多云,25~33℃
200,2011/08/03,多云~阵雨,26~34℃
201,2011/08/04,阵雨,26~33℃
202,2011/08/05,阵雨~小到中雨,25~31℃
203,2011/08/06,大到暴雨~暴雨,26~30℃
204,2011/08/07,阵雨~多云,26~31℃
205,2011/08/08,雷阵雨~多云,26~34℃
206,2011/08/09,阵雨~多云,26~34℃
207,2011/08/10,中雨~多云,27~35℃
208,2011/08/11,多云,27~35℃
209,2011/08/12,大雨~雷阵雨,25~34℃
210,2011/08/13,雷阵雨~多云,26~34℃
211,2011/08/14,雷阵雨~多云,27~36℃
212,2011/08/15,多云~晴,27~36℃
213,2011/08/16,多云~晴,27~36℃
214,2011/08/17,多云~阴,28~36℃
215,2011/08/18,多云,28~35℃
216,2011/08/19,多云~晴,27~36℃
217,2011/08/20,多云~晴,27~35℃
218,2011/08/21,雷阵雨~多云,26~34℃
219,2011/08/22,雷阵雨~阵雨,23~31℃
220,2011/08/23,阵雨,24~30℃
221,2011/08/24,中雨~阵雨,23~27℃
222,2011/08/25,阵雨,24~28℃
223,2011/08/26,阵雨,24~30℃
224,2011/08/27,中雨~阵雨,24~30℃
225,2011/08/28,多云,25~31℃
226,2011/08/29,阵雨,25~31℃
227,2011/08/30,小到中雨~阵雨,26~30℃
228,2011/09/01,多云,24~32℃
229,2011/09/02,晴,21~31℃
230,2011/09/03,晴,22~31℃
231,2011/09/04,晴,21~30℃
232,2011/09/05,多云,20~31℃
233,2011/09/06,多云,21~29℃
234,2011/09/07,多云,22~30℃
235,2011/09/08,多云~阵雨,24~32℃
236,2011/09/09,多云,23~32℃
237,2011/09/10,多云,22~29℃
238,2011/09/11,阴~多云,23~28℃
239,2011/09/12,多云,24~30℃
240,2011/09/13,多云,24~31℃
241,2011/09/14,多云,24~32℃
242,2011/09/15,多云,23~32℃
243,2011/09/16,晴~多云,23~32℃
244,2011/09/17,多云~小雨,21~32℃
245,2011/09/18,小雨~阴,18~24℃
246,2011/09/19,多云~阴,18~25℃
247,2011/09/20,多云,17~23℃
248,2011/09/21,多云,16~23℃
249,2011/09/22,多云~晴,14~25℃
250,2011/09/23,多云,16~26℃
251,2011/09/24,阵雨~小雨,18~25℃
252,2011/09/25,阵雨,19~25℃
253,2011/09/26,小雨,21~24℃
254,2011/09/27,阵雨~小雨,22~27℃
255,2011/09/28,小雨~多云,22~28℃
256,2011/09/29,中雨~中到大雨,19~31℃
257,2011/09/30,中雨~小雨,17~20℃
258,2011/10/01,阴~小雨,17~22℃
259,2011/10/02,小雨~阴,17~21℃
260,2011/10/03,小雨,17~20℃
261,2011/10/04,小雨~阴,17~20℃
262,2011/10/05,阴,17~22℃
263,2011/10/06,多云,16~24℃
264,2011/10/07,多云~晴,16~26℃
265,2011/10/08,晴,16~27℃
266,2011/10/09,多云~小雨,18~27℃
267,2011/10/10,小雨,19~25℃
268,2011/10/11,阴~多云,19~26℃
269,2011/10/12,多云~阴,19~26℃
270,2011/10/13,中雨,17~25℃
271,2011/10/14,小雨~多云,15~22℃
272,2011/10/15,晴,12~23℃
273,2011/10/16,晴,13~25℃
274,2011/10/17,晴,13~26℃
275,2011/10/18,晴~多云,12~23℃
276,2011/10/19,多云,16~23℃
277,2011/10/20,阴~小雨,17~22℃
278,2011/10/21,多云,16~23℃
279,2011/10/22,晴,14~25℃
280,2011/10/23,多云~阴,20~25℃
281,2011/10/24,中雨~小到中雨,14~22℃
282,2011/10/25,阴~多云,12~18℃
283,2011/10/26,多云,13~19℃
284,2011/10/27,多云,15~22℃
285,2011/10/28,阴~小雨,15~23℃
286,2011/10/29,阴,15~22℃
287,2011/10/30,阴~多云,15~22℃
288,2011/11/01,多云~小雨,18~23℃
289,2011/11/02,小雨,18~24℃
290,2011/11/03,小雨~阴,19~23℃
291,2011/11/04,小雨,19~25℃
292,2011/11/05,小雨,17~24℃
293,2011/11/06,阴,16~22℃
294,2011/11/07,阴,16~20℃
295,2011/11/08,小雨~小到中雨,15~19℃
296,2011/11/09,小到中雨,13~16℃
297,2011/11/10,小雨~阴,10~15℃
298,2011/11/11,多云,10~17℃
299,2011/11/12,晴~多云,11~20℃
300,2011/11/13,晴~多云,11~21℃
301,2011/11/14,多云,13~20℃
302,2011/11/15,多云,14~20℃
303,2011/11/16,多云~小雨,16~22℃
304,2011/11/17,小雨~阴,18~23℃
305,2011/11/18,阵雨~小雨,18~23℃
306,2011/11/19,小雨~阴,12~18℃
307,2011/11/20,多云,9~16℃
308,2011/11/21,多云,9~18℃
309,2011/11/22,多云~阴,10~18℃
310,2011/11/23,晴,6~16℃
311,2011/11/24,晴,8~16℃
312,2011/11/25,晴~多云,10~19℃
313,2011/11/26,多云,13~22℃
314,2011/11/27,多云~阴,14~22℃
315,2011/11/28,多云,15~24℃
316,2011/11/29,多云~阴,15~23℃
317,2011/11/30,小雨,5~19℃
318,2011/12/01,小雨,3~9℃
319,2011/12/02,阴~多云,3~11℃
320,2011/12/03,晴,2~11℃
321,2011/12/04,晴~多云,7~14℃
322,2011/12/05,多云~阴,11~15℃
323,2011/12/06,阴~小雨,12~17℃
324,2011/12/07,中到大雨~小到中雨,6~15℃
325,2011/12/08,小到中雨~阴,4~11℃
326,2011/12/09,多云,0~7℃
327,2011/12/10,晴,0~8℃
328,2011/12/11,晴,2~9℃
329,2011/12/12,多云,3~11℃
330,2011/12/13,多云,5~13℃
331,2011/12/14,多云~阴,6~13℃
332,2011/12/15,阴,3~9℃
333,2011/12/16,多云,1~7℃
334,2011/12/17,晴~多云,2~9℃
335,2011/12/18,多云,3~9℃
336,2011/12/19,多云~阴,6~12℃
337,2011/12/20,小雨,7~12℃
338,2011/12/21,小雨~阴,6~11℃
339,2011/12/22,多云,-1~8℃
340,2011/12/23,晴,-1~9℃
341,2011/12/24,晴,-1~8℃
342,2011/12/25,晴,0~10℃
343,2011/12/26,多云,4~10℃
344,2011/12/27,阴,7~12℃
345,2011/12/28,阴,8~13℃
346,2011/12/29,阴,6~12℃
347,2011/12/30,多云,3~10℃
348,2012/01/01,多云~晴,1~10℃
349,2012/01/02,多云,3~9℃
350,2012/01/03,阴,0~9℃
351,2012/01/04,多云,-2~5℃
352,2012/01/05,阴~雨夹雪,2~5℃
353,2012/01/06,雨夹雪~阴,3~5℃
354,2012/01/07,多云~阴,5~9℃
355,2012/01/08,阴,6~10℃
356,2012/01/09,小雨~阴,5~10℃
357,2012/01/10,阴,5~10℃
358,2012/01/11,阴~多云,3~8℃
359,2012/01/12,多云~阴,3~9℃
360,2012/01/13,阴~小雨,6~10℃
361,2012/01/14,中雨,5~8℃
362,2012/01/16,小雨~阴,5~9℃
363,2012/01/17,多云~阴,7~11℃
364,2012/01/18,小雨,8~11℃
365,2012/01/19,小雨,6~9℃
366,2012/01/20,阴~小雨,5~8℃
367,2012/01/21,小到中雨~雨夹雪,1~6℃
368,2012/01/22,小雪~阴,0~3℃
369,2012/01/23,多云~阴,0~4℃
370,2012/01/24,阴,-3~5℃
371,2012/01/25,多云~晴,-3~6℃
372,2012/01/26,多云~阴,3~8℃
373,2012/01/27,小雨,5~9℃
374,2012/01/28,小雨,4~8℃
375,2012/01/29,小雨,3~7℃
376,2012/01/30,小雨~多云,1~7℃
377,2012/01/31,多云,2~10℃
378,2012/02/01,多云,0~9℃
379,2012/02/02,阴~多云,-1~4℃
380,2012/02/03,多云,0~6℃
381,2012/02/04,阴~小雨,4~9℃
382,2012/02/05,阴~小雨,7~13℃
383,2012/02/06,中到大雨~小到中雨,1~14℃
384,2012/02/07,阴~多云,-3~6℃
385,2012/02/08,晴~多云,-3~6℃
386,2012/02/09,多云~小雨,3~7℃
387,2012/02/10,小雨,3~5℃
388,2012/02/11,阴,3~7℃
389,2012/02/12,阴,7~10℃
390,2012/02/13,阴,7~13℃
391,2012/02/14,小雨~小到中雨,5~11℃
392,2012/02/15,小雨,1~6℃
393,2012/02/16,阴,0~5℃
394,2012/02/17,多云,0~8℃
395,2012/02/18,多云,-2~6℃
396,2012/02/19,晴,-1~9℃
397,2012/02/20,多云~阴,5~12℃
398,2012/02/21,小雨,10~15℃
399,2012/02/22,阵雨~中雨,8~18℃
400,2012/02/23,小雨,5~12℃
401,2012/02/24,阴,4~8℃
402,2012/02/25,阴~小雨,3~7℃
403,2012/02/26,阴,1~5℃
404,2012/02/27,阴~小雨,4~6℃
405,2012/02/28,小雨~阴,3~8℃
406,2012/02/29,小雨,6~9℃
407,2012/03/01,阴~阵雨,6~13℃
408,2012/03/02,中雨~小到中雨,6~8℃
409,2012/03/03,中雨,7~8℃
410,2012/03/04,阵雨~中到大雨,8~12℃
411,2012/03/05,中到大雨~小雨,7~9℃
412,2012/03/06,阴~小雨,6~12℃
413,2012/03/07,中雨,5~8℃
414,2012/03/08,中雨,4~7℃
415,2012/03/09,阴,3~8℃
416,2012/03/10,多云,3~11℃
417,2012/03/11,多云,0~11℃
418,2012/03/12,晴,1~11℃
419,2012/03/13,晴~多云,5~13℃
420,2012/03/14,多云~阵雨,7~16℃
421,2012/03/15,中雨~阵雨,10~14℃
422,2012/03/16,阴~阵雨,13~20℃
423,2012/03/17,阴~阵雨,11~19℃
424,2012/03/18,阴,6~16℃
425,2012/03/19,小到中雨~小雨,7~10℃
426,2012/03/20,小雨~阴,5~8℃
427,2012/03/21,多云,8~14℃
428,2012/03/22,多云~中到大雨,8~23℃
429,2012/03/23,中雨~多云,5~11℃
430,2012/03/24,晴,5~16℃
431,2012/03/25,晴,4~19℃
432,2012/03/26,晴,8~21℃
433,2012/03/27,晴,11~24℃
434,2012/03/28,晴~多云,13~27℃
435,2012/03/29,小雨~阵雨,16~24℃
436,2012/03/30,中雨~小雨,5~20℃
437,2012/04/01   周日,中雨转阵雨,14~16℃
438,2012/04/02   周一,中雨转阵雨,12~18℃
439,2012/04/03   周二,中雨转阵雨,11~19℃
440,2012/04/04   周三,中雨转阵雨,14~16℃
441,2012/04/05   周四,中雨转阵雨,11~19℃
442,2012/04/06   周五,中雨转阵雨,11~19℃
443,2012/04/07   周六,中雨转阵雨,13~17℃
444,2012/04/08   周日,中雨转阵雨,12~18℃
445,2012/04/09   周一,中雨转阵雨,12~18℃
446,2012/04/10   周二,中雨转阵雨,11~19℃
447,2012/04/11   周三,中雨转阵雨,11~19℃
448,2012/04/12   星期四,中雨转阵雨,12~18℃
449,2012/04/13   星期五,阵雨转阴,11~20℃
450,2012/04/14   星期六,阴转多云,13~20℃
451,2012/04/15   星期日,中雨转阴,14~20℃
452,2012/04/16   星期一,阴转多云,11~23℃
453,2012/04/17   星期二,晴转多云,14~19℃
454,2012/04/18   星期三,阴转阵雨,15~19℃
455,2012/04/19   星期四,中雨转阵雨,15~23℃
456,2012/04/20   星期二,多云转阴,21~26℃
457,2012/04/21   星期六,中雨转小雨,13~27℃
458,2012/04/22   星期日,多云转晴,15~28℃
459,2012/04/23   星期一,晴,19~26℃
460,2012/04/24   星期二,多云转阵雨,19~24℃
461,2012/04/25   星期三,中雨,14~24℃
462,2012/04/26   星期四,多云转晴,14~27℃
463,2012/04/27   星期五,晴,17~27℃
464,2012/04/28   星期六,多云转阵雨,20~25℃
465,2012/04/29   星期日,阵雨转中雨,18~25℃
466,2012/04/30   星期一,阵雨,19~24℃
467,2012/05/01   星期二,大雨转中雨,17~25℃
468,2012/05/02   星期三,多云,15~27℃
469,2012/05/03   星期四,多云,15~27℃
470,2012/05/04   星期五,阴,17~25℃
471,2012/05/05   星期六,多云转晴,14~29℃
472,2012/05/06   星期日,晴,14~31℃
473,2012/05/07   星期一,晴转阵雨,20~32℃
474,2012/05/08   星期二,中雨,20~26℃
475,2012/05/09   星期三,阴转多云,18~26℃
476,2012/05/10   星期四,多云,16~26℃
477,2012/05/11   星期五,多云转晴,15~28℃
478,2012/05/12   星期六,晴转多云,18~27℃
479,2012/05/13   星期日,大雨,20~24℃
480,2012/05/14   星期一,阴转小到中雨,19~25℃
481,2012/05/15   星期二,中雨转阴,19~26℃
482,2012/05/16   星期三,多云,17~27℃
483,2012/05/17   星期四,多云转晴,18~31℃
484,2012/05/18   星期五,多云转阴,18~28℃
485,2012/05/19   星期六,中雨转小雨,18~23℃
486,2012/05/20   星期日,小雨转阴,17~21℃
487,2012/05/21   星期一,多云,15~24℃
488,2012/05/22   星期二,多云,17~26℃
489,2012/05/23   星期三,阵雨,20~25℃
490,2012/05/24   星期四,小到中雨转中雨,19~23℃
491,2012/05/25   星期五,阵雨,18~22℃
492,2012/05/26   星期六,小雨转阴,17~23℃
493,2012/05/27   星期日,多云转晴,16~26℃
494,2012/05/28   星期一,多云转晴,17~28℃
495,2012/05/29   星期二,多云转中雨,20~28℃
496,2012/05/30   星期三,大雨转小雨,18~22℃
497,2012/06/01   星期五,阴转小雨,19~24℃
498,2012/06/02   星期六,小雨转阴,18~23℃
499,2012/06/03   星期日,多云转阴,19~25℃
500,2012/06/04   星期一,阴,20~26℃
501,2012/06/05   星期二,阴转多云,20~27℃
502,2012/06/06   星期三,阴转小雨,22~28℃
503,2012/06/07   星期四,阵雨,24~29℃
504,2012/06/08   星期五,阵雨转多云,23~31℃
505,2012/06/09   星期六,多云,23~33℃
506,2012/06/10   星期日,多云转阵雨,22~33℃
507,2012/06/11   星期一,阵雨转阴,22~27℃
508,2012/06/12   星期二,阴转多云,22~29℃
509,2012/06/13   星期三,多云,22~31℃
510,2012/06/14   星期四,多云转阴,22~29℃
511,2012/06/15   星期五,多云,22~28℃
512,2012/06/16   星期六,阴转小雨,21~27℃
513,2012/06/17   星期日,中到大雨转大雨,22~25℃
514,2012/06/18   星期一,大到暴雨转阵雨,22~27℃
515,2012/06/19   星期二,阴,23~27℃
516,2012/06/20   星期三,阴转阵雨,22~28℃
517,2012/06/21   星期四,多云,22~29℃
518,2012/06/22   星期五,阵雨转大雨,22~27℃
519,2012/06/23   星期六,大到暴雨转中雨,22~24℃
520,2012/06/24   星期日,小到中雨转阵雨,23~27℃
521,2012/06/25   星期一,阵雨,24~29℃
522,2012/06/26   星期二,中到大雨转中雨,24~27℃
523,2012/06/27   星期三,中雨转阵雨,25~28℃
524,2012/06/28   星期四,阵雨,25~31℃
525,2012/06/29   星期五,多云,25~33℃
526,2012/06/30   星期六,雷阵雨转阵雨,27~35℃
527,2012/07/01   星期日,多云,27~36℃
528,2012/07/02   星期一,晴转多云,26~36℃
529,2012/07/03   星期二,晴转多云,27~36℃
530,2012/07/04   星期三,晴,28~38℃
531,2012/07/05   星期四,晴,28~38℃
532,2012/07/06   星期五,晴转多云,28~37℃
533,2012/07/07   星期六,中雨转多云,27~36℃
534,2012/07/08   星期日,中雨转多云,25~34℃
535,2012/07/09   星期一,雷阵雨转多云,27~36℃
536,2012/07/10   星期二,多云,28~38℃
537,2012/07/11   星期三,多云,28~37℃
538,2012/07/12   星期四,多云,28~37℃
539,2012/07/13   星期五,多云,28~38℃
540,2012/07/14   星期六,雷阵雨转阵雨,26~34℃
541,2012/07/15   星期日,中到大雨,25~29℃
542,2012/07/16   星期一,中到大雨转中雨,25~30℃
543,2012/07/17   星期二,中雨转阵雨,26~31℃
544,2012/07/18   星期三,雷阵雨转多云,25~32℃
545,2012/07/19   星期四,多云,26~34℃
546,2012/07/20   星期五,多云转中雨,25~35℃
547,2012/07/21   星期六,多云转晴,27~36℃
548,2012/07/22   星期日,多云,27~35℃
549,2012/07/23   星期一,多云,27~34℃
550,2012/07/24   星期二,多云,27~34℃
551,2012/07/25   星期三,多云,27~34℃
552,2012/07/26   星期四,多云,26~33℃
553,2012/07/27   星期五,多云,25~34℃
554,2012/07/28   星期六,多云,26~34℃
555,2012/07/29   星期日,多云,27~35℃
556,2012/07/30   星期一,多云,27~35℃
557,2012/08/01   星期三,多云转阵雨,26~33℃
558,2012/08/02   星期四,小雨转大到暴雨,26~31℃
559,2012/08/03   星期五,大到暴雨转大雨,26~30℃
