,日期,天气,温度
1034,2013/11/30   星期六,晴转多云,0~15℃
1035,2013/12/01   星期日,晴转多云,4~15℃
1036,2013/12/02   星期一,晴,3~16℃
1037,2013/12/03   星期二,晴,3~19℃
1038,2013/12/04   星期三,多云,5~17℃
1039,2013/12/05   星期四,霾,5~18℃
1040,2013/12/06   星期五,霾转多云,8~17℃
1041,2013/12/07   星期六,雾转霾,7~17℃
1042,2013/12/08   星期日,雾转霾,7~19℃
1043,2013/12/09   星期一,小雨转多云,9~15℃
1044,2013/12/10   星期二,阴转晴,3~10℃
1045,2013/12/11   星期三,晴转多云,2~11℃
1046,2013/12/12   星期四,晴转多云,2~13℃
1047,2013/12/13   星期五,阴转多云,6~13℃
1048,2013/12/14   星期六,晴转多云,5~15℃
1049,2013/12/15   星期日,阴转小雨,8~12℃
1050,2013/12/16   星期一,中雨转大雨,8~10℃
1051,2013/12/17   星期二,大雨转中雨,6~8℃
1052,2013/12/18   星期三,小雨转阴,5~9℃
1053,2013/12/19   星期四,多云,2~8℃
1054,2013/12/20   星期五,晴,0~8℃
1055,2013/12/21   星期六,霾,-1~7℃
1056,2013/12/22   星期日,霾,1~9℃
1057,2013/12/23   星期一,晴,0~10℃
1058,2013/12/24   星期二,晴转多云,-1~9℃
1059,2013/12/25   星期三,多云,1~10℃
1060,2013/12/26   星期四,霾,3~9℃
1061,2013/12/27   星期五,多云,0~5℃
1062,2013/12/28   星期六,晴,-3~6℃
1063,2013/12/29   星期日,晴,-3~7℃
1064,2013/12/30   星期一,晴,-3~11℃
1065,2014/01/01   星期三,晴,1~17℃
1066,2014/01/02   星期四,晴,2~19℃
1067,2014/01/03   星期五,多云,6~19℃
1068,2014/01/04   星期六,多云,4~12℃
1069,2014/01/05   星期日,霾转晴,3~12℃
1070,2014/01/06   星期一,霾转多云,2~13℃
1071,2014/01/07   星期二,多云,3~17℃
1072,2014/01/08   星期三,小雨,7~11℃
1073,2014/01/09   星期四,阴转多云,1~6℃
1074,2014/01/10   星期五,多云转晴,-2~10℃
1075,2014/01/11   星期六,多云转小雨,3~9℃
1076,2014/01/12   星期日,小雨,4~7℃
1077,2014/01/13   星期一,阴,1~7℃
1078,2014/01/14   星期二,阴转多云,0~8℃
1079,2014/01/15   星期三,多云转晴,-2~10℃
1080,2014/01/16   星期四,多云转晴,0~12℃
1081,2014/01/17   星期五,晴转多云,1~14℃
1082,2014/01/18   星期六,多云转晴,1~9℃
1083,2014/01/19   星期日,霾,-1~11℃
1084,2014/01/20   星期一,雾,-1~10℃
1085,2014/01/21   星期二,多云,-1~11℃
1086,2014/01/22   星期三,晴,-3~8℃
1087,2014/01/23   星期四,晴,-3~13℃
1088,2014/01/24   星期五,晴,3~19℃
1089,2014/01/25   星期六,晴转多云,8~22℃
1090,2014/01/26   星期日,阴转多云,4~11℃
1091,2014/01/27   星期一,多云,2~11℃
1092,2014/01/28   星期二,晴,5~14℃
1093,2014/01/29   星期三,多云,7~19℃
1094,2014/01/30   星期四,阴转多云,10~22℃
1095,2014/02/01   星期六,晴转多云,12~25℃
1096,2014/02/02   星期六,晴转多云,13~25℃
1097,2014/02/03   星期一,晴转多云,13~25℃
1098,2014/02/04   星期二,小雨转阴,5~12℃
1099,2014/02/05   星期三,阴,4~10℃
1100,2014/02/06   星期四,小雨,8~14℃
1101,2014/02/07   星期五,小雨转中雨,6~9℃
1102,2014/02/08   星期六,小雨转阴,4~8℃
1103,2014/02/09   星期日,阴转雨夹雪,2~4℃
1104,2014/02/10   星期一,雨夹雪转小雪,1~4℃
1105,2014/02/11   星期二,多云转阴,-2~5℃
1106,2014/02/12   星期三,阴转小雨,2~5℃
1107,2014/02/13   星期四,雨夹雪转小雨,2~6℃
1108,2014/02/14   星期五,小雨转阴,3~8℃
1109,2014/02/15   星期六,多云,1~11℃
1110,2014/02/16   星期日,小雨,5~10℃
1111,2014/02/17   星期一,小雨,8~10℃
1112,2014/02/18   星期二,小雨,6~10℃
1113,2014/02/19   星期三,中雪转小雪,1~4℃
1114,2014/02/20   星期四,多云,-2~9℃
1115,2014/02/21   星期五,晴,-1~10℃
1116,2014/02/22   星期六,多云,0~13℃
1117,2014/02/23   星期日,多云,3~15℃
1118,2014/02/24   星期一,多云转小雨,5~14℃
1119,2014/02/25   星期二,中雨,10~13℃
1120,2014/02/26   星期三,小雨转多云,10~16℃
1121,2014/02/27   星期四,雾转多云,7~15℃
1122,2014/02/28   星期五,阴转小雨,9~14℃
1123,2014/03/01   星期六,中雨转小雨,6~10℃
1124,2014/03/02   星期日,小雨转多云,5~10℃
1125,2014/03/03   星期一,多云转阴,6~11℃
1126,2014/03/04   星期二,小雨,8~11℃
1127,2014/03/05   星期四,多云转阴,5~11℃
1128,2014/03/06   星期四,多云转小雨,4~7℃
1129,2014/03/07   星期五,小雨,4~9℃
1130,2014/03/08   星期六,小雨转中雨,5~8℃
1131,2014/03/09   星期日,阴转多云,4~12℃
1132,2014/03/10   星期一,晴,3~14℃
1133,2014/03/11   星期二,晴,3~14℃
1134,2014/03/12   星期三,小雨转阵雨,11~18℃
1135,2014/03/13   星期四,阵雨转多云,7~13℃
1136,2014/03/14   星期五,多云转晴,2~15℃
1137,2014/03/15   星期六,晴,4~20℃
1138,2014/03/16   星期日,晴转多云,10~24℃
1139,2014/03/17   星期一,阵雨,14~24℃
1140,2014/03/18   星期二,晴转多云,12~28℃
1141,2014/03/19   星期三,多云转阵雨,13~22℃
1142,2014/03/20   星期四,小雨,8~13℃
1143,2014/03/21   星期五,晴,5~14℃
1144,2014/03/22   星期六,晴,1~17℃
1145,2014/03/23   星期日,晴,5~20℃
1146,2014/03/24   星期一,多云,11~23℃
1147,2014/03/25   星期二,阴转阵雨,15~24℃
1148,2014/03/26   星期三,多云,15~23℃
1149,2014/03/27   星期四,多云,13~23℃
1150,2014/03/28   星期五,多云转阵雨,14~22℃
1151,2014/03/29   星期六,阵雨转中雨,16~25℃
1152,2014/03/30   星期日,阴转多云,13~21℃
1153,2014/04/01   星期二,阴转小雨,11~17℃
1154,2014/04/02   星期三,多云转阴,10~17℃
1155,2014/04/03   星期四,阴转小雨,13~18℃
1156,2014/04/04   星期五,多云转晴,9~18℃
1157,2014/04/05   星期六,晴,8~24℃
1158,2014/04/06   星期日,晴转多云,8~19℃
1159,2014/04/07   星期一,小雨,12~18℃
1160,2014/04/08   星期二,阴转多云,11~20℃
1161,2014/04/09   星期三,多云转晴,11~24℃
1162,2014/04/10   星期四,多云,12~25℃
1163,2014/04/11   星期五,多云,14~23℃
1164,2014/04/12   星期六,阵雨,15~20℃
1165,2014/04/13   星期日,阵雨转多云,14~19℃
1166,2014/04/14   星期一,多云转晴,11~22℃
1167,2014/04/15   星期二,晴转多云,10~24℃
1168,2014/04/16   星期三,阴转阵雨,14~22℃
1169,2014/04/17   星期四,多云转阵雨,18~30℃
1170,2014/04/18   星期五,阵雨转多云,16~22℃
1171,2014/04/19   星期六,阵雨,14~19℃
1172,2014/04/20   星期日,阵雨转阴,14~19℃
1173,2014/04/21   星期一,阴转阵雨,12~17℃
1174,2014/04/22   星期二,阵雨转小雨,12~17℃
1175,2014/04/23   星期三,多云,11~21℃
1176,2014/04/24   星期四,多云转阵雨,12~20℃
1177,2014/04/25   星期五,阴转阵雨,15~19℃
1178,2014/04/26   星期六,阵雨转中雨,16~20℃
1179,2014/04/27   星期日,中雨转小雨,17~23℃
1180,2014/04/28   星期一,多云,14~22℃
1181,2014/04/29   星期二,多云转晴,13~25℃
1182,2014/04/30   星期三,晴,12~26℃
1183,2014/05/01   星期四,晴,13~29℃
1184,2014/05/02   星期五,晴,15~30℃
1185,2014/05/03   星期六,晴转多云,16~25℃
1186,2014/05/04   星期日,多云转中雨,17~24℃
1187,2014/05/05   星期一,中雨转多云,13~20℃
1188,2014/05/06   星期二,多云,11~23℃
1189,2014/05/07   星期三,晴转多云,12~27℃
1190,2014/05/08   星期四,多云,15~29℃
1191,2014/05/09   星期五,多云转阵雨,17~22℃
1192,2014/05/10   星期六,阵雨,18~23℃
1193,2014/05/11   星期日,阵雨转中雨,20~25℃
1194,2014/05/12   星期一,中雨转多云,17~27℃
1195,2014/05/13   星期二,多云转阴,15~26℃
1196,2014/05/14   星期三,中雨,20~26℃
1197,2014/05/15   星期四,阴转多云,19~26℃
1198,2014/05/16   星期五,多云,15~27℃
1199,2014/05/17   星期六,阵雨转中雨,19~22℃
1200,2014/05/18   星期日,阵雨,18~21℃
1201,2014/05/19   星期一,阴转阵雨,18~25℃
1202,2014/05/20   星期二,阵雨转多云,19~28℃
1203,2014/05/21   星期三,晴,16~29℃
1204,2014/05/22   星期四,小雨,20~24℃
1205,2014/05/23   星期五,阴转多云,18~27℃
1206,2014/05/24   星期六,多云,19~26℃
1207,2014/05/25   星期日,阵雨转中雨,22~29℃
1208,2014/05/26   星期一,阵雨转多云,23~32℃
1209,2014/05/27   星期二,多云,22~33℃
1210,2014/05/28   星期三,多云转晴,21~34℃
1211,2014/05/29   星期四,多云,22~33℃
1212,2014/05/30   星期五,多云,23~29℃
1213,2014/06/01   星期日,阵雨转大雨,21~23℃
1214,2014/06/02   星期一,中雨转阵雨,22~30℃
1215,2014/06/03   星期二,多云,20~28℃
1216,2014/06/04   星期三,多云,19~27℃
1217,2014/06/05   星期四,多云,19~28℃
1218,2014/06/06   星期五,多云,19~29℃
1219,2014/06/07   星期五,多云,21~32℃
1220,2014/06/08   星期五,多云,21~32℃
1221,2014/06/09   星期一,多云,22~29℃
1222,2014/06/10   星期二,阴,22~27℃
1223,2014/06/11   星期三,多云转晴,19~29℃
1224,2014/06/12   星期四,晴转多云,18~31℃
1225,2014/06/13   星期五,多云,21~32℃
1226,2014/06/14   星期六,多云,22~30℃
1227,2014/06/15   星期日,阴转阵雨,23~27℃
1228,2014/06/16   星期一,阵雨,24~28℃
1229,2014/06/17   星期二,阴转多云,22~28℃
1230,2014/06/18   星期三,多云转阴,21~27℃
1231,2014/06/19   星期四,阵雨,23~28℃
1232,2014/06/20   星期五,阵雨转大雨,24~26℃
1233,2014/06/21   星期六,中雨,22~25℃
1234,2014/06/22   星期日,阵雨,21~24℃
1235,2014/06/23   星期一,阵雨转阴,19~25℃
1236,2014/06/24   星期二,阵雨转中雨,21~24℃
1237,2014/06/25   星期三,阵雨转中雨,22~29℃
1238,2014/06/26   星期四,暴雨转大雨,23~25℃
1239,2014/06/27   星期五,阵雨,21~27℃
1240,2014/06/28   星期六,中雨,19~24℃
1241,2014/06/29   星期日,阵雨转大雨,21~24℃
1242,2014/06/30   星期一,阵雨转中雨,22~27℃
1243,2014/07/01   星期二,阵雨,23~31℃
1244,2014/07/02   星期三,阵雨,24~31℃
1245,2014/07/03   星期四,多云转阵雨,24~29℃
1246,2014/07/04   星期五,阵雨,24~32℃
1247,2014/07/05   星期六,阵雨转雷阵雨,25~33℃
1248,2014/07/06   星期日,多云,24~30℃
1249,2014/07/07   星期一,多云,23~29℃
1250,2014/07/08   星期二,阵雨,24~31℃
1251,2014/07/09   星期三,多云,24~34℃
1252,2014/07/10   星期五,多云,35~26℃
1253,2014/07/11   星期五,多云,26~35℃
1254,2014/07/12   星期六,多云转雷阵雨,27~36℃
1255,2014/07/13   星期日,多云转中雨,26~31℃
1256,2014/07/14   星期一,大雨转阵雨,23~29℃
1257,2014/07/15   星期二,多云转雷阵雨,24~34℃
1258,2014/07/16   星期三,多云,26~35℃
1259,2014/07/17   星期四,多云转晴,26~35℃
1260,2014/07/18   星期五,晴,26~33℃
1261,2014/07/19   星期六,多云,26~33℃
1262,2014/07/20   星期日,多云转晴,26~34℃
1263,2014/07/21   星期一,晴,27~35℃
1264,2014/07/22   星期二,晴,26~33℃
1265,2014/07/23   星期三,多云转阵雨,26~33℃
1266,2014/07/24   星期四,阵雨,27~31℃
1267,2014/07/25   星期五,阵雨,28~34℃
1268,2014/07/26   星期六,多云转雷阵雨,28~35℃
1269,2014/07/27   星期日,多云转雷阵雨,26~34℃
1270,2014/07/28   星期一,多云转雷阵雨,25~34℃
1271,2014/07/29   星期二,多云,25~35℃
1272,2014/07/30   星期三,晴转多云,27~34℃
1273,2014/08/01   星期五,中雨转大雨,26~29℃
1274,2014/08/02   星期六,阵雨,26~31℃
1275,2014/08/03   星期日,多云,26~34℃
1276,2014/08/04   星期一,多云转晴,25~35℃
1277,2014/08/05   星期二,晴,26~36℃
1278,2014/08/06   星期三,晴,27~35℃
1279,2014/08/07   星期四,晴转多云,26~34℃
1280,2014/08/08   星期五,多云,26~32℃
1281,2014/08/09   星期六,多云,26~31℃
1282,2014/08/10   星期日,阵雨转阴,26~31℃
1283,2014/08/11   星期一,阴,26~30℃
1284,2014/08/12   星期二,阴转阵雨,24~28℃
1285,2014/08/13   星期三,多云,25~30℃
1286,2014/08/14   星期四,阵雨转中雨,25~30℃
1287,2014/08/15   星期五,阵雨转阴,24~28℃
1288,2014/08/16   星期六,阴转阵雨,23~28℃
1289,2014/08/17   星期日,阵雨转中雨,23~27℃
1290,2014/08/18   星期一,阵雨转中雨,23~27℃
1291,2014/08/19   星期二,大雨转中雨,22~25℃
1292,2014/08/20   星期三,大雨,22~26℃
1293,2014/08/21   星期四,阵雨转多云,21~32℃
1294,2014/08/22   星期五,多云,23~31℃
1295,2014/08/23   星期六,多云转雷阵雨,25~34℃
1296,2014/08/24   星期日,多云转雷阵雨,26~34℃
1297,2014/08/25   星期一,雷阵雨转阵雨,25~31℃
1298,2014/08/26   星期二,阴转阵雨,24~28℃
1299,2014/08/27   星期三,阴,24~29℃
1300,2014/08/28   星期四,阴转雷阵雨,24~32℃
1301,2014/08/29   星期五,多云转中雨,23~30℃
1302,2014/08/30   星期六,阴转多云,23~31℃
1303,2014/09/01   星期一,阵雨转雷阵雨,24~32℃
1304,2014/09/02   星期二,多云转雷阵雨,24~34℃
1305,2014/09/03   星期三,雷阵雨,23~28℃
1306,2014/09/04   星期四,多云,21~30℃
1307,2014/09/05   星期五,多云,21~30℃
1308,2014/09/06   星期六,多云转雷阵雨,23~31℃
1309,2014/09/07   星期日,多云,23~32℃
1310,2014/09/08   星期一,多云,24~30℃
1311,2014/09/09   星期二,多云转阵雨,24~29℃
1312,2014/09/10   星期三,阵雨,24~28℃
1313,2014/09/11   星期四,阴转多云,23~29℃
1314,2014/09/12   星期五,阵雨转雷阵雨,23~29℃
1315,2014/09/13   星期六,雷阵雨转阵雨,23~28℃
1316,2014/09/14   星期日,阴转多云,22~27℃
1317,2014/09/15   星期一,阴转多云,23~28℃
1318,2014/09/16   星期二,多云转阵雨,23~27℃
1319,2014/09/17   星期三,阴转多云,23~30℃
1320,2014/09/18   星期四,阴转中雨,24~27℃
1321,2014/09/19   星期五,中雨,20~22℃
1322,2014/09/20   星期六,中雨转小雨,19~22℃
1323,2014/09/21   星期日,中雨转阵雨,20~23℃
1324,2014/09/22   星期一,大雨转暴雨,21~24℃
1325,2014/09/23   星期二,大雨转阵雨,23~26℃
1326,2014/09/24   星期三,多云,23~27℃
1327,2014/09/25   星期四,多云,20~26℃
1328,2014/09/26   星期五,多云,20~28℃
1329,2014/09/27   星期六,多云,20~30℃
1330,2014/09/28   星期日,多云,22~32℃
1331,2014/09/29   星期一,多云转雷阵雨,23~32℃
1332,2014/09/30   星期二,阵雨转小雨,22~24℃
1333,2014/10/01   星期三,阴转多云,18~24℃
1334,2014/10/02   星期四,多云,17~27℃
1335,2014/10/03   星期五,晴转多云,17~26℃
1336,2014/10/04   星期六,晴,17~26℃
1337,2014/10/05   星期日,多云,19~26℃
1338,2014/10/06   星期一,多云,18~25℃
1339,2014/10/07   星期二,多云,15~23℃
1340,2014/10/08   星期三,多云,16~24℃
1341,2014/10/09   星期四,多云,16~24℃
1342,2014/10/10   星期五,阴转阵雨,20~24℃
1343,2014/10/11   星期六,阴,20~24℃
1344,2014/10/12   星期日,阴,20~23℃
1345,2014/10/13   星期一,阴转多云,17~21℃
1346,2014/10/14   星期二,晴,13~21℃
1347,2014/10/15   星期三,晴,10~23℃
1348,2014/10/16   星期四,晴,10~24℃
1349,2014/10/17   星期五,多云,14~25℃
1350,2014/10/18   星期六,多云,15~26℃
1351,2014/10/19   星期日,多云,17~27℃
1352,2014/10/20   星期一,多云转晴,18~30℃
1353,2014/10/21   星期二,晴转阵雨,19~31℃
1354,2014/10/22   星期三,阵雨转多云,17~23℃
1355,2014/10/23   星期四,多云转晴,14~24℃
1356,2014/10/24   星期五,晴,12~25℃
1357,2014/10/25   星期六,晴,13~27℃
1358,2014/10/26   星期日,晴转多云,15~29℃
1359,2014/10/27   星期一,多云,17~23℃
1360,2014/10/28   星期二,多云,15~22℃
1361,2014/10/29   星期三,多云,16~24℃
1362,2014/10/30   星期四,阴转阵雨,18~25℃
1363,2014/11/01   星期六,小雨转阴,18~22℃
1364,2014/11/02   星期日,小雨转多云,16~21℃
1365,2014/11/03   星期一,多云转晴,9~18℃
1366,2014/11/04   星期二,晴,8~20℃
1367,2014/11/05   星期三,晴转多云,8~22℃
1368,2014/11/06   星期四,阴转多云,15~22℃
1369,2014/11/07   星期五,多云转阴,12~18℃
1370,2014/11/08   星期五,小雨,14~17℃
1371,2014/11/09   星期五,小雨,14~17℃
1372,2014/11/10   星期一,小雨,14~17℃
1373,2014/11/11   星期二,多云转阴,11~19℃
1374,2014/11/12   星期三,多云转晴,13~20℃
1375,2014/11/13   星期四,晴,9~16℃
1376,2014/11/14   星期五,晴,6~18℃
1377,2014/11/15   星期六,晴转多云,7~17℃
1378,2014/11/16   星期日,小雨,13~17℃
1379,2014/11/17   星期一,阴转多云,11~17℃
1380,2014/11/18   星期二,霾转多云,8~16℃
1381,2014/11/19   星期三,多云,7~17℃
1382,2014/11/20   星期四,多云转晴,8~21℃
1383,2014/11/21   星期五,多云转阴,10~22℃
1384,2014/11/22   星期六,多云,14~23℃
1385,2014/11/23   星期日,雾转多云,13~25℃
1386,2014/11/24   星期一,多云转小雨,16~25℃
1387,2014/11/25   星期二,小雨,13~17℃
1388,2014/11/26   星期三,阴转多云,11~18℃
1389,2014/11/27   星期四,晴转多云,8~21℃
1390,2014/11/28   星期五,阴转小雨,14~19℃
1391,2014/11/29   星期六,小雨,14~18℃
1392,2014/11/30   星期日,小雨,14~17℃
1393,2014/12/01   星期一,小雨转多云,6~13℃
1394,2014/12/02   星期二,晴转多云,2~9℃
1395,2014/12/03   星期三,多云,2~12℃
1396,2014/12/04   星期四,小雨转多云,3~8℃
1397,2014/12/05   星期五,多云转晴,0~9℃
1398,2014/12/06   星期六,晴,-1~11℃
1399,2014/12/07   星期日,多云,1~15℃
1400,2014/12/08   星期一,多云,4~11℃
1401,2014/12/09   星期二,多云,5~13℃
1402,2014/12/10   星期三,阴转小雨,9~13℃
1403,2014/12/11   星期四,小雨转阴,7~10℃
1404,2014/12/12   星期五,多云,3~9℃
1405,2014/12/13   星期六,晴,0~8℃
1406,2014/12/14   星期日,晴,-2~12℃
1407,2014/12/15   星期一,多云转小雨,4~11℃
1408,2014/12/16   星期二,阴转多云,2~8℃
1409,2014/12/17   星期三,晴,0~7℃
1410,2014/12/18   星期四,晴,-2~10℃
1411,2014/12/19   星期五,多云转霾,2~12℃
1412,2014/12/20   星期六,多云转晴,2~11℃
1413,2014/12/21   星期日,晴,1~8℃
1414,2014/12/22   星期一,晴,-2~9℃
1415,2014/12/23   星期二,晴,-2~13℃
1416,2014/12/24   星期三,多云,4~15℃
1417,2014/12/25   星期四,多云,4~10℃
1418,2014/12/26   星期五,阴,5~11℃
1419,2014/12/27   星期六,多云,5~13℃
1420,2014/12/28   星期日,阴转多云,5~13℃
1421,2014/12/29   星期一,多云转晴,2~14℃
1422,2014/12/30   星期二,晴,2~18℃
1423,2015/01/01   星期四,晴,-1~6℃
1424,2015/01/02   星期五,晴,-3~10℃
1425,2015/01/03   星期六,晴,-2~14℃
1426,2015/01/04   星期日,晴,4~20℃
1427,2015/01/05   星期一,多云,9~23℃
1428,2015/01/06   星期二,阴转小雨,6~14℃
1429,2015/01/07   星期三,小雨转多云,2~7℃
1430,2015/01/08   星期四,晴,-1~10℃
1431,2015/01/09   星期五,晴,0~12℃
1432,2015/01/10   星期六,晴转多云,2~13℃
1433,2015/01/11   星期日,霾转晴,4~15℃
1434,2015/01/12   星期一,晴转多云,3~10℃
1435,2015/01/13   星期二,阴转小雨,6~11℃
1436,2015/01/14   星期三,大雨转小雨,7~10℃
1437,2015/01/15   星期四,阴转多云,6~11℃
1438,2015/01/16   星期五,多云转晴,4~13℃
1439,2015/01/17   星期六,晴,3~9℃
1440,2015/01/18   星期日,晴转多云,2~13℃
1441,2015/01/19   星期一,多云转晴,3~12℃
1442,2015/01/20   星期二,多云,2~14℃
1443,2015/01/21   星期三,小雨转多云,6~17℃
1444,2015/01/22   星期四,多云转晴,3~9℃
1445,2015/01/23   星期五,晴,0~13℃
1446,2015/01/24   星期六,晴转多云,4~18℃
1447,2015/01/25   星期日,多云,9~22℃
1448,2015/01/26   星期一,阴,9~13℃
1449,2015/01/27   星期二,霾转阴,6~9℃
1450,2015/01/28   星期三,小雨,3~7℃
1451,2015/01/29   星期四,小雨,3~7℃
1452,2015/01/30   星期五,小雨转阴,4~6℃
1453,2015/02/01   星期日,阴,2~8℃
1454,2015/02/02   星期一,小雨,3~6℃
1455,2015/02/03   星期二,阴,5~8℃
1456,2015/02/04   星期三,阴,4~9℃
1457,2015/02/05   星期四,多云转晴,0~8℃
1458,2015/02/06   星期五,晴转多云,-2~10℃
1459,2015/02/07   星期六,晴,-1~13℃
1460,2015/02/08   星期日,多云,1~7℃
1461,2015/02/09   星期日,多云,-2~7℃
1462,2015/02/10   星期二,多云,-2~7℃
1463,2015/02/11   星期二,晴,0~17℃
1464,2015/02/12   星期二,多云转晴,4~16℃
1465,2015/02/13   星期五,晴转多云,5~19℃
1466,2015/02/14   星期六,晴转多云,5~21℃
1467,2015/02/15   星期日,小雨,13~19℃
1468,2015/02/16   星期一,阴转多云,11~17℃
1469,2015/02/17   星期二,多云转晴,6~15℃
1470,2015/02/18   星期三,晴,3~14℃
1471,2015/02/19   星期四,晴,1~12℃
1472,2015/02/20   星期五,多云转小雨,4~15℃
1473,2015/02/21   星期六,小雨,11~15℃
1474,2015/02/22   星期日,阴,8~15℃
1475,2015/02/23   星期一,小雨,7~10℃
1476,2015/02/24   星期二,小雨转阴,7~11℃
1477,2015/02/25   星期三,阴转阵雨,9~15℃
1478,2015/02/26   星期四,小雨,7~10℃
1479,2015/02/27   星期五,小雨,5~8℃
1480,2015/02/28   星期六,中雨,6~9℃
1481,2015/03/01   星期日,小雨转多云,4~10℃
1482,2015/03/02   星期一,多云,3~15℃
1483,2015/03/03   星期二,小雨转阴,7~12℃
1484,2015/03/04   星期三,阴转雨夹雪,3~9℃
1485,2015/03/05   星期四,雨夹雪转中雨,3~5℃
1486,2015/03/06   星期五,小雨,4~7℃
1487,2015/03/07   星期六,阴转多云,5~11℃
1488,2015/03/08   星期日,小雨转中雨,4~10℃
1489,2015/03/09   星期一,阴,6~11℃
1490,2015/03/10   星期二,多云,3~9℃
1491,2015/03/11   星期三,多云,2~12℃
1492,2015/03/12   星期四,阴转晴,4~17℃
1493,2015/03/13   星期五,晴,6~22℃
1494,2015/03/14   星期六,多云转阵雨,8~18℃
1495,2015/03/15   星期日,中雨转阵雨,12~16℃
1496,2015/03/16   星期一,中雨转阴,11~20℃
1497,2015/03/17   星期二,多云,13~25℃
1498,2015/03/18   星期三,雷阵雨转阵雨,18~29℃
